production_countries,release_date,revenue,revenue_new,Total,Music,Romance,War,Adventure,Animation,Drama,Horror,Action,Comedy,Western,Thriller,Science Fiction,Mystery,Documentary
Italy,2001,215.339,215339000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
France,2001,42700,42700000000,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
United States,2001,92344.158,92344158000,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0
Spain,2002,62.153,62153000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
United Kingdom,2002,102.471,102471000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Iran,2002,105.656,105656000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
United States,2002,60781.845,60781845000,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0
France,2003,11576.431,11576431000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
United States,2003,809000,8.09E+11,13,0,0,0,0,0,2,2,1,7,0,0,0,0,1
Spain,2004,928.391,928391000,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Germany,2004,3764.219,3764219000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
France,2004,14054.361,14054361000,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
United States,2004,897000,8.97E+11,9,0,0,0,0,0,4,0,0,3,0,0,0,0,2
Canada,2005,2019.009,2019009000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Russia,2005,8959.514,8959514000,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0
United States,2005,326000,3.26E+11,8,0,0,0,0,0,2,0,1,3,0,0,0,0,2
India,2006,500,500000000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Canada,2006,3833.507,3833507000,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Australia,2006,7778.177,7778177000,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
France,2006,29326.868,29326868000,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
United States,2006,556000,5.56E+11,17,1,0,0,0,0,7,0,0,7,0,1,0,0,1
Canada,2007,31.576,31576000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Brazil,2007,307.076,307076000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
India,2007,2640.85,2640850000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
United States,2007,285000,2.85E+11,8,0,0,0,0,0,3,1,0,4,0,0,0,0,0
Iran,2008,115.605,115605000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Russia,2008,235.432,235432000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
United Kingdom,2008,1107.542,1107542000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Japan,2008,69932.387,69932387000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
France,2008,76741.886,76741886000,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0
United States,2008,366000,3.66E+11,7,0,0,0,0,0,3,0,0,3,0,0,0,0,1
Japan,2009,80.768,80768000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Spain,2009,2012.927,2012927000,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
United States,2009,312000,3.12E+11,10,0,0,0,0,0,3,0,0,7,0,0,0,0,0
United Kingdom,2010,3867,3867000000,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
United States,2010,774000,7.74E+11,16,0,0,0,0,0,9,1,1,1,0,1,1,0,2
Italy,2011,1248.748,1248748000,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Hong Kong,2011,2802.459,2802459000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Russia,2011,10210.148,10210148000,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Italy,2011,12935.8,12935800000,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
France,2011,20374.201,20374201000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
United States,2011,441000,4.41E+11,16,0,0,0,0,0,5,1,0,5,0,0,0,0,5
China,2012,0.311,311000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
France,2012,3.462,3462000,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Russia,2012,44.645,44645000,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Mexico,2012,1612.1,1612100000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
South Korea,2012,3623.33,3623330000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Germany,2012,4129.25,4129250000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Italy,2012,19630.834,19630834000,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
India,2012,31000,31000000000,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Japan,2012,44057.737,44057737000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
United States,2012,658000,6.58E+11,16,0,0,0,0,0,8,1,0,5,0,0,0,0,2
South Korea,2013,2.34,2340000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Sweden,2013,34.664,34664000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
France,2013,123.284,123284000,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Spain,2013,850.259,850259000,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
India,2013,6500,6500000000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Italy,2013,9500,9500000000,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Japan,2013,19978.961,19978961000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
United Kingdom,2013,26305.46,26305460000,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0
United States,2013,830000,8.3E+11,17,0,1,0,0,0,5,2,1,7,0,0,0,0,1
New Zealand,2014,5.24,5240000,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ethiopia,2014,49.667,49667000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Canada,2014,263.003,263003000,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0
United Kingdom,2014,1289.998,1289998000,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Italy,2014,5809.33,5809330000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
France,2014,21026.29,21026290000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
China,2014,76000,76000000000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Turkey,2014,150000,1.5E+11,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
United States,2014,950000,9.5E+11,20,0,0,0,0,0,11,3,0,4,0,1,0,0,1
Chile,2015,52.761,52761000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
France,2015,200.247,200247000,4,0,0,0,0,0,2,0,0,1,0,0,0,0,1
India,2015,4400,4400000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,2015,18340,18340000000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Germany,2015,109000,1.09E+11,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
United States,2015,857000,8.57E+11,14,0,0,0,0,0,3,1,1,5,0,1,0,0,3
Ireland,2016,152.761,152761000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Russia,2016,4577.688,4577688000,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
United Kingdom,2016,37915.971,37915971000,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
India,2016,313000,3.13E+11,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
United States,2016,594000,5.94E+11,14,0,0,0,0,0,6,0,1,5,0,1,0,0,1
United Kingdom,2017,0.923,923000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Spain,2017,5000,5000000000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
India,2017,17000,17000000000,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
United States,2017,86859.607,86859607000,3,0,0,0,0,0,1,1,0,0,0,0,0,0,1
